Time,Rla,Rlo,RCPI,DistanceDelta(m),TimeDelta(s),Speed(km/h)
11:33:48,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:49,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:50,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:51,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:52,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:53,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:54,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:55,37.4040041,127.1046397,102,0.0,1.0,0.0
11:33:56,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:57,37.4040041,127.1046397,98,0.0,1.0,0.0
11:33:58,37.4040041,127.1046397,100,0.0,1.0,0.0
11:33:59,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:00,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:01,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:02,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:03,37.4040041,127.1046397,102,0.0,1.0,0.0
11:34:04,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:05,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:06,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:07,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:08,37.4040041,127.1046397,104,0.0,1.0,0.0
11:34:09,37.4040041,127.1046397,110,0.0,1.0,0.0
11:34:10,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:11,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:12,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:13,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:14,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:15,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:16,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:17,37.4040041,127.1046397,100,0.0,1.0,0.0
11:34:18,37.4040041,127.1046397,98,0.0,1.0,0.0
11:34:19,37.4040041,127.1046397,102,0.0,1.0,0.0
